,Click to star the Github Repo,,,,,,,Connect/Follow on LinkedIn,,,,Last updated:,2022-06-22 12:30 (GMT),
Q. No.,Name / Link,"Likes
(L)","Dislikes
(D)","Reactions
(L+D)","L/D
Ratio","Acceptance
Rate",Category,Topic Tags,Difficulty,Free?,"Has
Solution?","Has Video
Solution?","Total
Accepted","Total
Submitted"
75,Sort Colors,10520,428,10948,24.58,55.53%,Algorithms,"Array, Two Pointers, Sorting, ",Medium,TRUE,TRUE,FALSE,1060339,1909590
78,Subsets,10493,162,10655,64.77,72.12%,Algorithms,"Array, Backtracking, Bit Manipulation, ",Medium,TRUE,TRUE,FALSE,1133047,1571068
215,Kth Largest Element in an Array,10473,550,11023,19.04,64.72%,Algorithms,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect, ",Medium,TRUE,TRUE,FALSE,1423166,2198834
239,Sliding Window Maximum,10378,354,10732,29.32,46.34%,Algorithms,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, ",Hard,TRUE,TRUE,FALSE,593932,1281811
169,Majority Element,10270,355,10625,28.93,63.24%,Algorithms,"Array, Hash Table, Divide and Conquer, Sorting, Counting, ",Easy,TRUE,TRUE,FALSE,1285845,2033406
98,Validate Binary Search Tree,10262,904,11166,11.35,30.75%,Algorithms,"Tree, Depth-First Search, Binary Search Tree, Binary Tree, ",Medium,TRUE,TRUE,TRUE,1457615,4740751
236,Lowest Common Ancestor of a Binary Tree,10204,284,10488,35.93,55.93%,Algorithms,"Tree, Depth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,1031591,1844300
136,Single Number,10193,379,10572,26.89,69.6%,Algorithms,"Array, Bit Manipulation, ",Easy,TRUE,TRUE,FALSE,1701089,2444170
128,Longest Consecutive Sequence,10174,451,10625,22.56,48.77%,Algorithms,"Array, Hash Table, Union Find, ",Medium,TRUE,TRUE,FALSE,719517,1475464
41,First Missing Positive,10116,1384,11500,7.31,36.16%,Algorithms,"Array, Hash Table, ",Hard,TRUE,TRUE,FALSE,703387,1945200
124,Binary Tree Maximum Path Sum,9986,552,10538,18.09,37.87%,Algorithms,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, ",Hard,TRUE,TRUE,FALSE,760779,2008882
160,Intersection of Two Linked Lists,9950,957,10907,10.4,51.68%,Algorithms,"Hash Table, Linked List, Two Pointers, ",Easy,TRUE,TRUE,TRUE,1025059,1983414
49,Group Anagrams,9903,335,10238,29.56,64.69%,Algorithms,"Array, Hash Table, String, Sorting, ",Medium,TRUE,TRUE,TRUE,1418095,2192305
189,Rotate Array,9873,1330,11203,7.42,38.75%,Algorithms,"Array, Math, Two Pointers, ",Medium,TRUE,TRUE,FALSE,1155972,2983110
207,Course Schedule,9853,399,10252,24.69,45.15%,Algorithms,"Depth-First Search, Breadth-First Search, Graph, Topological Sort, ",Medium,TRUE,TRUE,FALSE,907137,2009274
101,Symmetric Tree,9800,240,10040,40.83,51.97%,Algorithms,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Easy,TRUE,TRUE,FALSE,1279068,2460997
48,Rotate Image,9793,511,10304,19.16,67.38%,Algorithms,"Array, Math, Matrix, ",Medium,TRUE,TRUE,FALSE,931439,1382446
79,Word Search,9691,367,10058,26.41,39.84%,Algorithms,"Array, Backtracking, Matrix, ",Medium,TRUE,TRUE,FALSE,1002971,2517378
283,Move Zeroes,9641,251,9892,38.41,60.86%,Algorithms,"Array, Two Pointers, ",Easy,TRUE,TRUE,FALSE,1734613,2850124
347,Top K Frequent Elements,9610,383,9993,25.09,65.01%,Algorithms,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect, ",Medium,TRUE,TRUE,TRUE,1014574,1560646
62,Unique Paths,9418,307,9725,30.68,60.46%,Algorithms,"Math, Dynamic Programming, Combinatorics, ",Medium,TRUE,TRUE,FALSE,982037,1624333
234,Palindrome Linked List,9372,576,9948,16.27,47.18%,Algorithms,"Linked List, Two Pointers, Stack, Recursion, ",Easy,TRUE,TRUE,TRUE,1014867,2151045
32,Longest Valid Parentheses,8919,290,9209,30.76,32.36%,Algorithms,"String, Dynamic Programming, Stack, ",Hard,TRUE,TRUE,FALSE,530478,1639463
138,Copy List with Random Pointer,8903,1006,9909,8.85,48.83%,Algorithms,"Hash Table, Linked List, ",Medium,TRUE,TRUE,FALSE,810934,1660614
105,Construct Binary Tree from Preorder and Inorder Traversal,8877,242,9119,36.68,58.29%,Algorithms,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree, ",Medium,TRUE,TRUE,FALSE,734668,1260294
72,Edit Distance,8864,102,8966,86.9,51.36%,Algorithms,"String, Dynamic Programming, ",Hard,TRUE,TRUE,FALSE,488048,950213
